order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name
1,2508,450,18-02-2023,842.97,New Foods Chinese
2,2693,309,18-01-2023,546.68,Ruchi Curry House Multicuisine
3,2084,107,15-07-2023,163.93,Spice Kitchen Punjabi
4,319,224,04-10-2023,1155.97,Darbar Kitchen Non-Veg
5,1064,293,25-12-2023,1321.91,Royal Eatery South Indian
6,2933,499,12-07-2023,1497.22,Annapurna Tiffins South Indian
7,970,35,30-05-2023,129.21,Royal Biryani North Indian
8,891,57,07-11-2023,269.19,Spice Mess Punjabi
9,364,7,05-12-2023,953.3,Ruchi Biryani Punjabi
10,2972,183,30-12-2023,351.41,Taste of Biryani Non-Veg
11,924,235,10-12-2023,523.82,Amma Delights Family Restaurant
12,884,423,27-10-2023,1484.65,Royal Tiffins Multicuisine
13,1958,244,11-08-2023,216.59,Amma Tiffins South Indian
14,364,112,24-09-2023,898.24,Grand Cafe Punjabi
15,1733,383,17-07-2023,1098.41,Amma Biryani North Indian
16,1321,149,17-07-2023,475.74,Amma Restaurant South Indian
17,1896,421,09-04-2023,1002.51,Ruchi Foods Chinese
18,1617,414,23-04-2023,736.89,Darbar Delights South Indian
19,330,73,27-12-2023,392.59,Spice Mess Andhra
20,2567,52,03-02-2023,362.01,Udupi Curry House South Indian
21,1610,186,13-08-2023,743.68,Darbar Restaurant North Indian
22,688,279,12-07-2023,507.82,Sri Tiffins Andhra
23,2640,83,14-06-2023,1025.36,Darbar Mess Pure Veg
24,2403,434,22-01-2023,412.5,Amma Kitchen Punjabi
25,288,18,07-06-2023,147.9,Annapurna Kitchen Family Restaurant
26,2915,129,24-12-2023,933.31,New Cafe North Indian
27,1056,399,08-08-2023,678.38,Swagath Cafe Multicuisine
28,2370,63,23-03-2023,900.74,Ruchi Foods South Indian
29,2905,115,20-09-2023,903,Annapurna Eatery Non-Veg
30,2009,18,23-04-2023,996.26,Annapurna Kitchen Family Restaurant
31,1986,190,03-04-2023,199.16,Amma Restaurant Pure Veg
32,1407,93,26-01-2023,741.1,Swagath Cafe Multicuisine
